frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
186,7,[627.82666015625 876.0889892578125 1049.89501953125 1209.0787353515625],car,[776.0172119140625 1086.8369140625 895.4722900390625 1123.5185546875],0.3805217444896698,FEZZK,0.07092918567085096
188,6,[1379.521484375 970.6467895507812 1859.1854248046875 1358.9169921875],car,[1557.23095703125 1224.974853515625 1688.96142578125 1270.016845703125],0.4259001612663269,AP05JED,0.35296519271230037
189,6,[1380.0390625 974.9993896484375 1862.632080078125 1364.62451171875],car,[1551.306884765625 1229.3724365234375 1702.036376953125 1271.9461669921875],0.27647465467453003,APVSJED,0.20320514451724167
195,6,[1384.8233642578125 999.4755859375 1877.6544189453125 1396.9952392578125],car,[1570.906982421875 1258.3260498046875 1716.069091796875 1296.0338134765625],0.25276055932044983,APU5JEO,0.1523181740296909
201,6,[1389.9095458984375 1025.859619140625 1893.3006591796875 1427.9859619140625],car,[1582.286865234375 1288.3258056640625 1733.26123046875 1331.5137939453125],0.6794586181640625,ZPU5JED,0.07632975772155698
201,7,[589.2423095703125 929.45654296875 1049.88037109375 1276.3270263671875],car,[748.1613159179688 1151.6875 867.2589721679688 1187.372314453125],0.569098949432373,DISZE,0.026089944257291792
202,7,[585.7507934570312 931.9613037109375 1051.6201171875 1279.2437744140625],car,[746.069580078125 1154.6514892578125 865.30126953125 1188.6544189453125],0.3246249854564667,HEZE,0.10780791938304901
203,7,[584.6298828125 935.7130126953125 1044.6392822265625 1285.669921875],car,[740.3515014648438 1157.974365234375 872.1358032226562 1193.723876953125],0.35988467931747437,MHEEZE,0.11817123718545992
205,7,[580.5835571289062 940.5001831054688 1041.0467529296875 1295.1328125],car,[728.4769287109375 1164.11962890625 864.1492919921875 1202.16259765625],0.2548457980155945,MZ,0.18228047885968338
208,7,[570.603271484375 949.5857543945312 1035.3345947265625 1310.2000732421875],car,[722.7386474609375 1181.8358154296875 854.1375732421875 1218.9940185546875],0.2883494794368744,EEZZ,0.0889592319726944
209,7,[568.45458984375 952.777587890625 1033.04345703125 1315.022705078125],car,[720.859130859375 1182.9112548828125 854.199951171875 1222.0423583984375],0.5310989618301392,FEZZ,0.06998701393604279
210,7,[566.626953125 955.2844848632812 1033.2952880859375 1319.8863525390625],car,[721.290771484375 1187.662841796875 857.295654296875 1226.065185546875],0.43846848607063293,EHEZZP,0.3232619000350559
212,7,[561.1895141601562 965.7496337890625 1031.6827392578125 1330.2257080078125],car,[715.0595092773438 1194.076904296875 854.8047485351562 1233.326416015625],0.36162176728248596,EH05ZZR,0.09187626118847496
215,7,[551.5274658203125 976.2528686523438 1028.60302734375 1346.198486328125],car,[709.2269287109375 1214.9866943359375 840.3135986328125 1251.3836669921875],0.4299048185348511,HHOSZZEI,0.10793451953945052
216,7,[546.6893310546875 980.3168334960938 1030.9102783203125 1350.107421875],car,[705.8291015625 1217.925537109375 839.710693359375 1255.113037109375],0.366081565618515,HHSZZK,0.1389484928197644
222,7,[527.7149047851562 1001.294921875 1020.5577392578125 1384.067138671875],car,[689.28515625 1249.0830078125 825.572265625 1287.68896484375],0.6256307363510132,KEZ,0.7761041217488565
223,7,[525.2698974609375 1006.3131103515625 1023.3777465820312 1388.2978515625],car,[687.63232421875 1254.378173828125 824.094482421875 1290.1064453125],0.5330528616905212,KHDSZE,0.04647915393868423
227,7,[510.8341064453125 1025.28759765625 1000.9349975585938 1410.75537109375],car,[676.49755859375 1278.314453125 815.289794921875 1315.242919921875],0.2727421522140503,DL,0.12318734117213556
228,7,[507.10247802734375 1032.7469482421875 1008.7098388671875 1417.341064453125],car,[677.855712890625 1283.40625 815.0458984375 1319.98193359375],0.3486992120742798,LRNS17,0.014203291304220395
229,7,[505.30645751953125 1036.912109375 1001.4892578125 1420.95849609375],car,[672.6576538085938 1283.8472900390625 814.4085083007812 1321.9891357421875],0.29448202252388,DNDSZ,0.15115294310654304
233,7,[491.9549255371094 1057.2779541015625 992.1671752929688 1435.45947265625],car,[656.785400390625 1307.4761962890625 802.52197265625 1347.6898193359375],0.3431640565395355,HZZE,0.5408362150192261
253,10,[1498.804931640625 985.8460083007812 1953.0169677734375 1334.119873046875],car,[1669.9102783203125 1220.30126953125 1792.2864990234375 1259.7294921875],0.4126354157924652,L0ZFKD,0.11148650722442312
264,10,[1506.7152099609375 1034.99267578125 1979.07421875 1400.213134765625],car,[1687.33349609375 1280.33349609375 1815.09619140625 1321.46142578125],0.2647204101085663,WROZEWV,0.03472884382014179
